Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:37:30,2021-02-01 13:37:41,"10,368s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:37:41,2021-02-01 13:37:42,"1,451s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:37:42,2021-02-01 13:37:45,"3,479s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:37:45,2021-02-01 13:37:47,"1,121s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""100"")",,,,2021-02-01 13:37:47,2021-02-01 13:37:49,"2,669s",PASSED
"click(findWindowsObject(""CodProdottoMagazzino""))",,,,2021-02-01 13:37:49,2021-02-01 13:37:50,"1,092s",PASSED
"setText(findWindowsObject(""CodProdottoMagazzinoText""), ""0123456789000"")",,,,2021-02-01 13:37:50,2021-02-01 13:37:54,"3,330s",PASSED
"click(findWindowsObject(""PrezzoMagazzino""))",,,,2021-02-01 13:37:54,2021-02-01 13:37:55,"1,122s",PASSED
"setText(findWindowsObject(""PrezzoMagazzinoText""), ""a"")",,,,2021-02-01 13:37:55,2021-02-01 13:37:57,"2,557s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:37:57,2021-02-01 13:37:59,"1,184s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:37:59,2021-02-01 13:38:34,"35,197s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:38:34,2021-02-01 13:38:34,"0,536s",PASSED
"assert text == ""Inserire un prezzo valido""",,,,2021-02-01 13:38:34,2021-02-01 13:38:34,"0,000s",PASSED
closeApplication(),,,,2021-02-01 13:38:34,2021-02-01 13:38:34,"0,129s",PASSED
,,,,,,,
Test Cases/TC_I_1_5,,,,2021-02-01 13:38:34,2021-02-01 13:39:32,"57,920s",PASSED
"callTestCase(findTestCase(""BeforeMagazzino""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:38:35,2021-02-01 13:38:46,"10,664s",PASSED
"click(findWindowsObject(""Object Repository/NomeProdottoMagazzino""))",,,,2021-02-01 13:38:46,2021-02-01 13:38:47,"1,218s",PASSED
"setText(findWindowsObject(""NomeProdottoMagazzinoText""), ""Orata"")",,,,2021-02-01 13:38:47,2021-02-01 13:38:49,"2,673s",PASSED
"click(findWindowsObject(""QuantitaMagazzino""))",,,,2021-02-01 13:38:49,2021-02-01 13:38:51,"1,122s",PASSED
"setText(findWindowsObject(""QuantitaMagazzinoText""), ""100"")",,,,2021-02-01 13:38:51,2021-02-01 13:38:53,"2,679s",PASSED
"click(findWindowsObject(""CodProdottoMagazzino""))",,,,2021-02-01 13:38:53,2021-02-01 13:38:54,"1,129s",PASSED
"setText(findWindowsObject(""CodProdottoMagazzinoText""), ""0123456789aaa"")",,,,2021-02-01 13:38:54,2021-02-01 13:38:58,"3,253s",PASSED
"click(findWindowsObject(""InserisciProdottoMagazzino""))",,,,2021-02-01 13:38:58,2021-02-01 13:38:59,"1,158s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:38:59,2021-02-01 13:39:32,"32,887s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:39:32,2021-02-01 13:39:32,"0,517s",PASSED
"assert text == ""Inserisci un codice prodotto valido (13 cifre)""",,,,2021-02-01 13:39:32,2021-02-01 13:39:32,"0,001s",PASSED
