Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuiteAssistenza,,,,2021-02-01 13:09:49,2021-02-01 13:29:08,"19m - 18,696s",PASSED
,,,,,,,
Test Cases/TC_A_1_1,,,,2021-02-01 13:09:51,2021-02-01 13:10:44,"53,128s",PASSED
"callTestCase(findTestCase(""BeforeAssistenza""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:09:51,2021-02-01 13:10:05,"13,401s",PASSED
"click(findWindowsObject(""Object Repository/NomeCognomeAssistenza""))",,,,2021-02-01 13:10:05,2021-02-01 13:10:07,"1,762s",PASSED
"setText(findWindowsObject(""Object Repository/NomeCognomeAssistenzaText""), ""a"")",,,,2021-02-01 13:10:07,2021-02-01 13:10:09,"2,446s",PASSED
"click(findWindowsObject(""Object Repository/AvantiAssistenza""))",,,,2021-02-01 13:10:09,2021-02-01 13:10:10,"1,093s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:10:10,2021-02-01 13:10:43,"32,881s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:10:43,2021-02-01 13:10:44,"0,570s",PASSED
"assert text == ""Inserire nome e cognome validi""",,,,2021-02-01 13:10:44,2021-02-01 13:10:44,"0,004s",PASSED
closeApplication(),,,,2021-02-01 13:10:44,2021-02-01 13:10:44,"0,140s",PASSED
,,,,,,,
Test Cases/TC_A_1_2,,,,2021-02-01 13:10:44,2021-02-01 13:11:34,"49,975s",PASSED
"callTestCase(findTestCase(""BeforeAssistenza""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:10:44,2021-02-01 13:10:54,"9,377s",PASSED
"click(findWindowsObject(""Object Repository/NomeCognomeAssistenza""))",,,,2021-02-01 13:10:54,2021-02-01 13:10:55,"1,414s",PASSED
"setText(findWindowsObject(""Object Repository/NomeCognomeAssistenzaText""), ""Franco Cirillo"")",,,,2021-02-01 13:10:55,2021-02-01 13:10:58,"3,243s",PASSED
"click(findWindowsObject(""Object Repository/IndirizzoAssistenza""))",,,,2021-02-01 13:10:58,2021-02-01 13:10:59,"1,108s",PASSED
"setText(findWindowsObject(""Object Repository/IndirizzoAssistenzaText""), ""V"")",,,,2021-02-01 13:10:59,2021-02-01 13:11:02,"2,486s",PASSED
"click(findWindowsObject(""Object Repository/AvantiAssistenza""))",,,,2021-02-01 13:11:02,2021-02-01 13:11:03,"1,120s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:11:03,2021-02-01 13:11:33,"29,993s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:11:33,2021-02-01 13:11:34,"0,531s",PASSED
"assert text == ""Inserire un indirizzo valido""",,,,2021-02-01 13:11:34,2021-02-01 13:11:34,"0,001s",PASSED
closeApplication(),,,,2021-02-01 13:11:34,2021-02-01 13:11:34,"0,142s",PASSED
,,,,,,,
Test Cases/TC_A_1_10,,,,2021-02-01 13:11:34,2021-02-01 13:12:48,"1m - 14,188s",PASSED
"callTestCase(findTestCase(""BeforeAssistenza""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:11:34,2021-02-01 13:11:44,"9,399s",PASSED
"click(findWindowsObject(""Object Repository/NomeCognomeAssistenza""))",,,,2021-02-01 13:11:44,2021-02-01 13:11:45,"1,412s",PASSED
"setText(findWindowsObject(""Object Repository/NomeCognomeAssistenzaText""), ""Franco Cirillo"")",,,,2021-02-01 13:11:45,2021-02-01 13:11:48,"3,151s",PASSED
"click(findWindowsObject(""Object Repository/IndirizzoAssistenza""))",,,,2021-02-01 13:11:48,2021-02-01 13:11:49,"1,097s",PASSED
"setText(findWindowsObject(""Object Repository/IndirizzoAssistenzaText""), ""Via Roma"")",,,,2021-02-01 13:11:49,2021-02-01 13:11:52,"2,823s",PASSED
"click(findWindowsObject(""TelefonoClienteAssistenza""))",,,,2021-02-01 13:11:52,2021-02-01 13:11:53,"1,107s",PASSED
"setText(findWindowsObject(""Object Repository/TelefonoClienteAssistenzaText""), ""0123456789"")",,,,2021-02-01 13:11:53,2021-02-01 13:11:56,"2,950s",PASSED
"click(findWindowsObject(""NomeProdottoAssistenza""))",,,,2021-02-01 13:11:56,2021-02-01 13:11:57,"1,095s",PASSED
"setText(findWindowsObject(""Object Repository/NomeProdottoAssistenzaText""), ""Notebook Asus"")",,,,2021-02-01 13:11:57,2021-02-01 13:12:00,"3,157s",PASSED
"click(findWindowsObject(""TipoProdottoAssistenza""))",,,,2021-02-01 13:12:00,2021-02-01 13:12:02,"1,113s",PASSED
"setText(findWindowsObject(""Object Repository/TipoProdottoAssistenzaText""), ""Computer"")",,,,2021-02-01 13:12:02,2021-02-01 13:12:05,"2,979s",PASSED
"click(findWindowsObject(""CodProdottoAssistenza""))",,,,2021-02-01 13:12:05,2021-02-01 13:12:06,"1,167s",PASSED
"setText(findWindowsObject(""CodProdottoAssistenzaText""), ""1000000000001"")",,,,2021-02-01 13:12:06,2021-02-01 13:12:09,"3,204s",PASSED
"click(findWindowsObject(""NumSerieAssistenza""))",,,,2021-02-01 13:12:09,2021-02-01 13:12:10,"1,072s",PASSED
"setText(findWindowsObject(""NumSerieAssistenzaText""), ""x"")",,,,2021-02-01 13:12:10,2021-02-01 13:12:12,"2,459s",PASSED
"click(findWindowsObject(""Object Repository/AvantiAssistenza""))",,,,2021-02-01 13:12:12,2021-02-01 13:12:14,"1,075s",PASSED
"switchToWindowTitle(""Errore"")",,,,2021-02-01 13:12:14,2021-02-01 13:12:47,"33,702s",PASSED
"text = getText(findWindowsObject(""Object Repository/MessaggioErrore""))",,,,2021-02-01 13:12:47,2021-02-01 13:12:48,"0,532s",PASSED
"assert text == ""Inserire un numero di serie valido""",,,,2021-02-01 13:12:48,2021-02-01 13:12:48,"0,001s",PASSED
closeApplication(),,,,2021-02-01 13:12:48,2021-02-01 13:12:48,"0,154s",PASSED
,,,,,,,
Test Cases/TC_A_1_11,,,,2021-02-01 13:12:48,2021-02-01 13:14:09,"1m - 21,161s",PASSED
"callTestCase(findTestCase(""BeforeAssistenza""), [:], STOP_ON_FAILURE)",,,,2021-02-01 13:12:49,2021-02-01 13:12:58,"9,129s",PASSED
"click(findWindowsObject(""Object Repository/NomeCognomeAssistenza""))",,,,2021-02-01 13:12:58,2021-02-01 13:12:59,"1,745s",PASSED
"setText(findWindowsObject(""Object Repository/NomeCognomeAssistenzaText""), ""Franco Cirillo"")",,,,2021-02-01 13:12:59,2021-02-01 13:13:03,"3,578s",PASSED
"click(findWindowsObject(""Object Repository/IndirizzoAssistenza""))",,,,2021-02-01 13:13:03,2021-02-01 13:13:04,"1,090s",PASSED
